GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
2	2	3	2	2	8	3.25	2.75	1.2	2	17	0.54	5
2	2	3	1	7	4	2.5	2.2	2.6	1.5	9	1.27	2
1	2	3	2	5	6	3.25	3.8	1.6	1.25	22	1.2	3
2	2	1	1	7	5	3.75	3.4	1	1.5	24	1.19	5
2	1	1	1	6	3	3	2.75	1.6	1.75	11	0.88	3
2	2	1	1	8	8	2.67	2.25	1.8	1.25	25	1.46	5
1	2	3	1	8	8	3	2.5	1	1.5	15	1.97	5
2	2	1	1	4	8	3.33	2.6	1.2	1.25	25	1.5	5
1	2	1	1	2	4	3.67	2.8	1	1.25	15	1.05	5
1	2	1	1	2	5	3	2.6	1.4	1	35	1.78	6
1	1	3	1	5	6	2	2	2.8	1.5	11	0.75	2
2	1	3	1	8	8	3	3	1.4	2.25	12	1.34	2
2	1	4	1	3	7	2	2.2	2.2	1	19	1.65	4
2	2	2	1	3	3	3	2.6	1.2	1.75	13	0.83	2
1	2	1	1	8	7	3.75	3.4	1.6	1.5	28	1.75	3
2	2	1	1	8	7	4	4	1	1	22	1.47	5
2	1	1	1	7	8	4	3.75	1	1	32	2.17	5
2	2	1	1	5	2	4	4	1	1	22	1.16	4
2	2	1	1	3	6	4	3.2	1	1	21	1.3	5
1	2	1	1	6	8	4	4	1	1	25	2.06	5
2	2	1	1	7	5	3	3.4	1.6	1	15	0.91	5
1	2	1	1	7	5	3	3	1.6	1.25	28	1.72	3
1	2	1	1	4	5	3.25	3	1.2	1.25	24	1.67	6
2	2	1	1	6	6	3.5	3	1	1.25	21	1.24	6
1	2	1	1	4	5	3	2.25	1.4	1.25	18	1.55	5
2	2	1	1	1	3	3.25	3.25	1.4	1	17	0.98	5
2	2	1	1	5	8	4	3.75	1	1	21	1.02	3
2	2	1	1	9	8	3.75	3	1.6	1	32	1.76	6
2	2	1	1	6	6	3.5	3.75	1.6	1	37	1.36	5
1	2	1	1	3	6	3	2.25	1.4	1.67	39	1.42	5
1	2	1	1	7	8	3.25	3.5	1	1.75	30	1.32	6
1	2	1	1	6	7	2.5	3.5	1.8	1.25	29	1.96	8
1	2	3	1	8	7	3.75	3	1	1.25	15	1.99	6
2	2	1	1	7	2	3	3	2	1.25	21	1.55	6
2	2	1	1	2	8	3	3.25	1.4	1.25	29	1.13	5
1	1	1	1	9	8	2.75	2.8	1.8	1.5	24	1.39	2
2	2	1	1	6	8	4	4	1	2.25	16	1.15	3
1	2	1	1	4	8	4	4	1	1	25	2.01	5
1	2	1	1	5	8	4	4	1	1.75	18	1.7	6
1	2	1	1	1	0	4	3.4	1	2.5	14	0.79	5
1	1	3	1	4	8	3	3.2	1.8	1.5	15	0.9	3
2	2	3	1	2	6	3.25	3.4	1.4	1	17	1.54	3
2	2	1	1	5	7	3.5	3.2	1.8	1.75	15	1.32	5
2	2	4	1	3	4	1.75	2.2	3.6	2.25	13	1.38	2
2	2	2	1	7	7	2	1.8	2.8	1.75	15	0.92	3
2	2	1	1	7	5	3.5	3.25	1.4	1.5	27	1.58	8
2	2	2	1	7	8	3.5	3.25	1.4	1	18	1.39	6
2	2	1	1	5	8	1.75	1.75	3	2	14	1.36	3
2	2	3	1	8	8	3.25	3	1.2	1	17	1.74	5
1	2	1	1	5	8	2.75	2.75	2	1.5	20	1.77	5
1	2	1	1	5	6	2.25	2	3.2	1.5	31	1.91	5
1	2	3	1	6	6	3	3.25	1.8	1.5	18	1.81	6
1	2	1	1	6	7	2.5	2	1.8	1.75	21	1.72	5
2	2	1	1	7	7	2.75	3.6	1	1	36	1.86	6
2	2	1	1	9	7	3.25	3.4	1.2	1	30	1.96	6
1	2	1	1	5	7	3.25	2.6	2	1.33	31	1.84	6
2	2	1	1	4	8	3.25	3.6	1.4	1.5	24	1.58	7
2	2	1	1	8	6	3	2.8	1.6	1.25	24	2.16	3
1	2	1	1	8	8	3	2.6	2	2	39	1.88	6
